snr,seed,method,classifier,accuracy,macro_f1,f1_point,f1_cyst,f1_dense,best_params
10,4,AE Latent,Logistic Regression,0.355,0.355034833551043,0.345,0.33915211970074816,0.38095238095238093,{'C': 10.0}
10,4,AE Latent,Random Forest,0.31666666666666665,0.3108271055281709,0.3157894736842105,0.375,0.24169184290030213,"{'max_depth': None, 'n_estimators': 200}"
10,4,AE Latent,SVM-RBF,0.355,0.3045505269733744,0.28493150684931506,0.466557911908646,0.16216216216216217,"{'C': 0.1, 'gamma': 'scale'}"
10,4,PCA,Logistic Regression,0.3233333333333333,0.3222412167006481,0.31746031746031744,0.28860759493670884,0.36065573770491804,{'C': 10.0}
10,4,PCA,Random Forest,0.335,0.3347943489026332,0.3251231527093596,0.31876606683804626,0.36049382716049383,"{'max_depth': 10, 'n_estimators': 200}"
10,4,PCA,SVM-RBF,0.34833333333333333,0.34768950819321437,0.37735849056603776,0.29591836734693877,0.3697916666666667,"{'C': 0.1, 'gamma': 0.1}"
20,0,Raw RF,Logistic Regression,0.3016666666666667,0.3011545909880427,0.2766990291262136,0.2804232804232804,0.3463414634146341,{'C': 0.1}
20,0,Raw RF,Random Forest,0.32,0.31896420960280714,0.3182897862232779,0.33181818181818185,0.30678466076696165,"{'max_depth': 20, 'n_estimators': 200}"
20,0,Raw RF,SVM-RBF,0.34833333333333333,0.34887035718205744,0.30049261083743845,0.3208020050125313,0.4253164556962025,"{'C': 1.0, 'gamma': 0.01}"
20,0,AE Latent,Logistic Regression,0.3466666666666667,0.34688213433297094,0.33753148614609574,0.3284313725490196,0.37468354430379747,{'C': 1.0}
20,0,AE Latent,Random Forest,0.35,0.3499254256747905,0.3234624145785877,0.3787528868360277,0.3475609756097561,"{'max_depth': None, 'n_estimators': 100}"
20,0,AE Latent,SVM-RBF,0.35833333333333334,0.3570571594342835,0.3741648106904232,0.31805929919137466,0.37894736842105264,"{'C': 10.0, 'gamma': 0.01}"
20,0,PCA,Logistic Regression,0.31333333333333335,0.31309589873821614,0.2878787878787879,0.33906633906633904,0.3123425692695214,{'C': 0.1}
20,0,PCA,Random Forest,0.35333333333333333,0.3421361824067004,0.3425692695214106,0.24924012158054712,0.4345991561181435,"{'max_depth': 10, 'n_estimators': 200}"
20,0,PCA,SVM-RBF,0.35333333333333333,0.3317484451799616,0.3059490084985836,0.23948220064724918,0.44981412639405205,"{'C': 1.0, 'gamma': 'scale'}"
20,1,Raw RF,Logistic Regression,0.35,0.349145131934538,0.38848920863309355,0.3520408163265306,0.3069053708439898,{'C': 10.0}
20,1,Raw RF,Random Forest,0.33,0.32843117824997153,0.3526570048309179,0.33488372093023255,0.29775280898876405,"{'max_depth': 20, 'n_estimators': 100}"
20,1,Raw RF,SVM-RBF,0.4083333333333333,0.3671089657110864,0.43537414965986393,0.47761194029850745,0.18834080717488788,"{'C': 0.1, 'gamma': 'scale'}"
20,1,AE Latent,Logistic Regression,0.41,0.40971473219907373,0.37659033078880405,0.4207920792079208,0.4317617866004963,{'C': 10.0}
20,1,AE Latent,Random Forest,0.36666666666666664,0.3623535034342161,0.39359267734553777,0.3747178329571106,0.31875,"{'max_depth': 20, 'n_estimators': 200}"
20,1,AE Latent,SVM-RBF,0.37333333333333335,0.3353304187555007,0.3955056179775281,0.44234404536862004,0.168141592920354,"{'C': 1.0, 'gamma': 0.01}"
20,1,PCA,Logistic Regression,0.34833333333333333,0.34669859025937927,0.3813953488372093,0.30933333333333335,0.3493670886075949,{'C': 0.1}
20,1,PCA,Random Forest,0.38666666666666666,0.381779698365482,0.3343108504398827,0.36855036855036855,0.4424778761061947,"{'max_depth': 10, 'n_estimators': 200}"
20,1,PCA,SVM-RBF,0.3566666666666667,0.3535317555029987,0.36553524804177545,0.3047091412742382,0.39035087719298245,"{'C': 0.1, 'gamma': 'scale'}"
20,2,Raw RF,Logistic Regression,0.3516666666666667,0.35050168670733567,0.35036496350364965,0.31466666666666665,0.3864734299516908,{'C': 0.1}
